x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-22.33800E-03,-612.50000E-03,-500.00000E-03,-312.50000E-03,+344.99998E-03
-22.28800E-03,-375.00000E-03,-500.00000E-03,-312.50000E-03,+1.02249998E+00
-22.23800E-03,-450.00000E-03,-500.00000E-03,-312.50000E-03,+919.99998E-03
-22.18800E-03,-537.50000E-03,-500.00000E-03,-312.50000E-03,+128.74998E-03
-22.13800E-03,-137.50000E-03,-500.00000E-03,-312.50000E-03,+751.24998E-03
-22.08800E-03,-450.00000E-03,-575.00000E-03,-312.50000E-03,+1.05374998E+00
-22.03800E-03,-612.50000E-03,-737.50000E-03,-387.50000E-03,+108.74998E-03
-21.98800E-03,-375.00000E-03,-425.00000E-03,-625.00000E-03,+454.99998E-03
-21.93800E-03,-450.00000E-03,-262.50000E-03,-625.00000E-03,+957.49998E-03
-21.88800E-03,-612.50000E-03,-575.00000E-03,-550.00000E-03,+541.24998E-03
-21.83800E-03,-375.00000E-03,-737.50000E-03,-312.50000E-03,+87.49998E-03
-21.78800E-03,-375.00000E-03,-500.00000E-03,-312.50000E-03,+861.24998E-03
-21.73800E-03,-300.00000E-03,-575.00000E-03,-387.50000E-03,+1.07874998E+00
-21.68800E-03,-212.50000E-03,-737.50000E-03,-700.00000E-03,+52.49998E-03
-21.63800E-03,-612.50000E-03,-500.00000E-03,-787.50000E-03,+509.99998E-03
-21.58800E-03,-375.00000E-03,-500.00000E-03,-312.50000E-03,+868.74998E-03
-21.53800E-03,-300.00000E-03,-500.00000E-03,-312.50000E-03,+229.99998E-03
-21.48800E-03,-137.50000E-03,-500.00000E-03,-237.50000E-03,+259.99998E-03
-21.43800E-03,-375.00000E-03,-575.00000E-03,-75.00000E-03,+888.74998E-03
-21.38800E-03,-375.00000E-03,-737.50000E-03,-387.50000E-03,+864.99998E-03
-21.33800E-03,-375.00000E-03,-425.00000E-03,-550.00000E-03,+74.99998E-03
-21.28800E-03,-375.00000E-03,-262.50000E-03,-387.50000E-03,+611.24998E-03
-21.23800E-03,-375.00000E-03,-425.00000E-03,-550.00000E-03,+918.74998E-03
-21.18800E-03,-375.00000E-03,-262.50000E-03,-312.50000E-03,+102.49998E-03
-21.13800E-03,-375.00000E-03,-575.00000E-03,-387.50000E-03,+329.99998E-03
-21.08800E-03,-450.00000E-03,-737.50000E-03,-625.00000E-03,+884.99998E-03
-21.03800E-03,-612.50000E-03,-500.00000E-03,-550.00000E-03,+619.99998E-03
-20.98800E-03,-450.00000E-03,-350.00000E-03,-312.50000E-03,+103.74998E-03
-20.93800E-03,-687.50000E-03,-100.00000E-03,-312.50000E-03,+822.49998E-03
-20.88800E-03,-537.50000E-03,-737.50000E-03,-312.50000E-03,+1.04624998E+00
-20.83800E-03,-137.50000E-03,-500.00000E-03,-312.50000E-03,+99.99998E-03
-20.78800E-03,-375.00000E-03,-500.00000E-03,-387.50000E-03,+517.49998E-03
-20.73800E-03,-300.00000E-03,-500.00000E-03,-625.00000E-03,+982.49998E-03
-20.68800E-03,-212.50000E-03,-500.00000E-03,-625.00000E-03,+507.49998E-03
-20.63800E-03,-537.50000E-03,-575.00000E-03,-550.00000E-03,+236.24998E-03
